,Date,Time,Station,CAPE,CIN
66,1992-05-01,0,LIX,22.73254991511601 joule / kilogram,-0.4559605728607561 joule / kilogram
67,1992-05-01,0,BNA,88.00526739995088 joule / kilogram,-13.11068433154584 joule / kilogram
68,1992-05-01,0,TLH,0.0 joule / kilogram,0.0 joule / kilogram
69,1992-05-01,0,WMW,3.3196262145658624 joule / kilogram,-7.1940123626512795 joule / kilogram
70,1992-05-01,0,BUF,29.815038738862178 joule / kilogram,-0.0018981515007152156 joule / kilogram
71,1992-05-01,0,ALB,0.0 joule / kilogram,0.0 joule / kilogram
72,1992-05-01,0,CAR,0.0 joule / kilogram,0.0 joule / kilogram
73,1992-05-01,0,YQI,0.0 joule / kilogram,0.0 joule / kilogram
74,1992-05-01,0,CHH,0.0 joule / kilogram,0.0 joule / kilogram
75,1992-05-01,0,PIT,0.0 joule / kilogram,0.0 joule / kilogram
76,1992-05-01,0,IAD,1.499984410739684 joule / kilogram,-18.81975087462698 joule / kilogram
77,1992-05-01,0,WAL,0.04178111266921682 joule / kilogram,-0.0029836338284486286 joule / kilogram
78,1992-05-01,0,GSO,407.92932544032374 joule / kilogram,-0.022070877055579776 joule / kilogram
79,1992-05-01,0,CHS,1.9118519041010686 joule / kilogram,-99.99252370632087 joule / kilogram
80,1992-05-01,0,TBW,0.0 joule / kilogram,0.0 joule / kilogram
81,1992-05-02,12,UIL,0.0 joule / kilogram,0.0 joule / kilogram
82,1992-05-02,12,BOI,0.0 joule / kilogram,0.0 joule / kilogram
83,1992-05-02,12,OAK,0.0 joule / kilogram,0.0 joule / kilogram
84,1992-05-02,12,NKX,0.0 joule / kilogram,0.0 joule / kilogram
85,1992-05-02,12,GGW,0.0 joule / kilogram,0.0 joule / kilogram
86,1992-05-02,12,RAP,0.0 joule / kilogram,0.0 joule / kilogram
87,1992-05-02,12,SLC,0.0 joule / kilogram,0.0 joule / kilogram
88,1992-05-02,12,GJT,0.0 joule / kilogram,0.0 joule / kilogram
89,1992-05-02,12,ABQ,0.0 joule / kilogram,0.0 joule / kilogram
90,1992-05-02,12,TUS,0.0 joule / kilogram,0.0 joule / kilogram
91,1992-05-02,12,BIS,0.0 joule / kilogram,0.0 joule / kilogram
92,1992-05-02,12,WPL,0.0 joule / kilogram,0.0 joule / kilogram
93,1992-05-02,12,INL,0.0 joule / kilogram,0.0 joule / kilogram
94,1992-05-02,12,YMO,0.0 joule / kilogram,0.0 joule / kilogram
95,1992-05-02,12,GRB,0.0 joule / kilogram,0.0 joule / kilogram
96,1992-05-02,12,LBF,0.0 joule / kilogram,0.0 joule / kilogram
97,1992-05-02,12,DDC,0.0 joule / kilogram,0.0 joule / kilogram
98,1992-05-02,12,TOP,0.0 joule / kilogram,0.0 joule / kilogram
99,1992-05-02,12,AMA,0.0 joule / kilogram,0.0 joule / kilogram
100,1992-05-02,12,OUN,33.03571724928525 joule / kilogram,-967.4701253548287 joule / kilogram
101,1992-05-02,12,DRT,0.0 joule / kilogram,0.0 joule / kilogram
102,1992-05-02,12,CRP,650.3616529883353 joule / kilogram,-10.522458801236661 joule / kilogram
103,1992-05-02,12,ADN,761.9170225705521 joule / kilogram,-0.0005182703400461106 joule / kilogram
104,1992-05-02,12,BRO,912.0551456220645 joule / kilogram,-17.064540038081994 joule / kilogram
105,1992-05-02,12,LZK,0.0 joule / kilogram,0.0 joule / kilogram
106,1992-05-02,12,LCH,3.3413722791590192 joule / kilogram,-15.186955114378307 joule / kilogram
107,1992-05-02,12,JAN,0.0 joule / kilogram,0.0 joule / kilogram
108,1992-05-02,12,LIX,0.0 joule / kilogram,0.0 joule / kilogram
109,1992-05-02,12,BNA,0.0 joule / kilogram,0.0 joule / kilogram
110,1992-05-02,12,TLH,0.0 joule / kilogram,0.0 joule / kilogram
111,1992-05-02,12,WMW,0.0 joule / kilogram,0.0 joule / kilogram
112,1992-05-02,12,BUF,0.0 joule / kilogram,0.0 joule / kilogram
113,1992-05-02,12,ALB,0.0 joule / kilogram,0.0 joule / kilogram
114,1992-05-02,12,CAR,0.0 joule / kilogram,0.0 joule / kilogram
115,1992-05-02,12,YQI,0.0 joule / kilogram,0.0 joule / kilogram
116,1992-05-02,12,CHH,0.0 joule / kilogram,0.0 joule / kilogram
117,1992-05-02,12,PIT,0.0 joule / kilogram,0.0 joule / kilogram
118,1992-05-02,12,IAD,0.0 joule / kilogram,0.0 joule / kilogram
119,1992-05-02,12,WAL,0.0 joule / kilogram,0.0 joule / kilogram
120,1992-05-02,12,GSO,0.0 joule / kilogram,0.0 joule / kilogram
121,1992-05-02,12,CHS,0.0 joule / kilogram,0.0 joule / kilogram
122,1992-05-02,12,TBW,0.0 joule / kilogram,0.0 joule / kilogram
123,1992-05-02,0,UIL,0.0 joule / kilogram,0.0 joule / kilogram
124,1992-05-02,0,BOI,0.0 joule / kilogram,0.0 joule / kilogram
125,1992-05-02,0,OAK,38.690264257439175 joule / kilogram,-305.6966970060357 joule / kilogram
126,1992-05-02,0,NKX,0.0 joule / kilogram,0.0 joule / kilogram
127,1992-05-02,0,GGW,0.0 joule / kilogram,0.0 joule / kilogram
128,1992-05-02,0,RAP,0.0 joule / kilogram,0.0 joule / kilogram
129,1992-05-02,0,GJT,0.0 joule / kilogram,0.0 joule / kilogram
130,1992-05-02,0,TUS,0.0 joule / kilogram,0.0 joule / kilogram
131,1992-05-02,0,BIS,0.0 joule / kilogram,0.0 joule / kilogram
132,1992-05-02,0,WPL,0.0 joule / kilogram,0.0 joule / kilogram
133,1992-05-02,0,INL,0.0 joule / kilogram,0.0 joule / kilogram
134,1992-05-02,0,YMO,0.0 joule / kilogram,0.0 joule / kilogram
